"Date","Returns","garch_sigma","msgarch_sigma","gas_sigma"
2017-08-18,-0.042112865483654,0,0,0
2017-08-19,0.00766460073757358,0,0,0
2017-08-20,-0.013053488973032,0,0,0
2017-08-21,-0.0173510855452204,0,0,0
2017-08-22,0.0059583095836313,0,0,0
2017-08-23,0.0181535299791076,0,0,0
2017-08-24,0.0479331424011864,0,0,0
2017-08-25,-0.00821948887482726,0,0,0
2017-08-26,0.0131724368457515,0,0,0
2017-08-27,-0.0063440880256973,0,0,0
2017-08-28,0.0176347320652699,0,0,0
2017-08-29,0.0447558973343103,0,0,0
2017-08-30,-0.00707458800301985,0,0,0
2017-08-31,0.0365880145562922,0,0,0
2017-09-01,0.0230182342096352,0,0,0
2017-09-02,-0.0779954731948909,0,0,0
2017-09-03,0.00822610030856907,0,0,0
2017-09-04,-0.09507933895609,0,0,0
2017-09-05,0.0629410997381523,0,0,0
2017-09-06,0.0563900179478143,0,0,0
2017-09-07,0.0154308868273265,0,0,0
2017-09-08,-0.0911688058299713,0,0,0
2017-09-09,-0.0056172227671496,0,0,0
2017-09-10,-0.0306227871969629,0,0,0
2017-09-11,0.0187321698756637,0,0,0
2017-09-12,-0.0106902557572646,0,0,0
2017-09-13,-0.054038534727658,0,0,0
2017-09-14,-0.21265671116187,0,0,0
2017-09-15,0.148619160083442,0,0,0
2017-09-16,0.00403239947876877,0,0,0
2017-09-17,-0.00403510218512437,0,0,0
2017-09-18,0.0866786630897636,0,0,0
2017-09-19,-0.0314611759096124,0,0,0
2017-09-20,-0.00257105098837407,0,0,0
2017-09-21,-0.0772715508777502,0,0,0
2017-09-22,-0.00391903758114864,0,0,0
2017-09-23,0.0499380449547946,0,0,0
2017-09-24,-0.0322553977522766,0,0,0
2017-09-25,0.0688143501531773,0,0,0
2017-09-26,-0.00984232163823151,0,0,0
2017-09-27,0.0769758277944597,0,0,0
2017-09-28,-0.00442187753670709,0,0,0
2017-09-29,4.5513397116892e-05,0,0,0
2017-09-30,0.0476683798156756,0,0,0
2017-10-01,-6.85166935276982e-06,0,0,0
2017-10-02,0.000347092192997778,0,0,0
2017-10-03,-0.0161108202726989,0,0,0
2017-10-04,-0.0238102293831535,0,0,0
2017-10-05,0.0197253314109176,0,0,0
2017-10-06,0.0176811438258788,0,0,0
2017-10-07,0.0122840489168912,0,0,0
2017-10-08,0.0478961673519738,0,0,0
2017-10-09,0.0311790991625713,0,0,0
2017-10-10,-0.000812956353072991,0,0,0
2017-10-11,0.00799005551181509,0,0,0
2017-10-12,0.118868569386366,0,0,0
2017-10-13,0.039712871383232,0,0,0
2017-10-14,0.0382009249319655,0,0,0
2017-10-15,-0.0276356579081405,0,0,0
2017-10-16,0.00872367457109213,0,0,0
2017-10-17,-0.0290676051601046,0,0,0
2017-10-18,-0.014934922770701,0,0,0
2017-10-19,0.0306991978427096,0,0,0
2017-10-20,0.0557887956033465,0,0,0
2017-10-21,0.00248608767196679,0,0,0
2017-10-22,-0.0125179192147833,0,0,0
2017-10-23,-0.00574586843701042,0,0,0
2017-10-24,-0.0770857292216736,0,0,0
2017-10-25,0.0381455074297072,0,0,0
2017-10-26,0.0297431150957941,0,0,0
2017-10-27,-0.0159823187680583,0,0,0
2017-10-28,-0.00856342064703597,0,0,0
2017-10-29,0.0757897300728061,0,0,0
2017-10-30,-0.00805180388752547,0,0,0
2017-10-31,0.0544498137473273,0,0,0
2017-11-01,0.0440383544700609,0,0,0
2017-11-02,0.0386284082799939,0,0,0
2017-11-03,0.0134504844207086,0,0,0
2017-11-04,0.0334536206710272,0,0,0
2017-11-05,-0.00164330302724736,0,0,0
2017-11-06,-0.0538244555182938,0,0,0
2017-11-07,0.0148204102227751,0,0,0
2017-11-08,0.0332680968381904,0,0,0
2017-11-09,-0.0310127273627199,0,0,0
2017-11-10,-0.0843970483801613,0,0,0
2017-11-11,-0.0410862969444779,0,0,0
2017-11-12,-0.0720313142483597,0,0,0
2017-11-13,0.1067982970486,0,0,0
2017-11-14,0.0167169243992689,0,0,0
2017-11-15,0.0963564365059799,0,0,0
2017-11-16,0.0827294680424568,0,0,0
2017-11-17,-0.0212438331774791,0,0,0
2017-11-18,0.00811717442925364,0,0,0
2017-11-19,0.0349479930766741,0,0,0
2017-11-20,0.0214162031296787,0,0,0
2017-11-21,-0.0113266916315098,0,0,0
2017-11-22,0.0105860374831224,0,0,0
2017-11-23,-0.0229186700134481,0,0,0
2017-11-24,0.0146072745846464,0,0,0
2017-11-25,0.0667797255056666,0,0,0
2017-11-26,0.0480246285326817,0,0,0
2017-11-27,0.0556091117330482,0,0,0
2017-11-28,0.0252535572155903,0,0,0
2017-11-29,-0.0213358528498802,0,0,0
2017-11-30,0.0154743947049525,0,0,0
2017-12-01,0.0916198780922475,0,0,0
2017-12-02,0.00987596270428881,0,0,0
2017-12-03,0.0249747512985863,0,0,0
2017-12-04,0.0363725061134552,0,0,0
2017-12-05,0.0103948744723557,0,0,0
2017-12-06,0.146802250253311,0,0,0
2017-12-07,0.202952215228281,0,0,0
2017-12-08,-0.0442819967650934,0,0,0
2017-12-09,-0.0802058716977481,0,0,0
2017-12-10,0.0165052865473925,0,0,0
2017-12-11,0.107317863177574,0,0,0
2017-12-12,-0.0144504481239274,0,0,0
2017-12-13,-0.0195600999850303,0,0,0
2017-12-14,0.018641634950173,0,0,0
2017-12-15,0.0711654740773753,0,0,0
2017-12-16,0.0853532976067424,0,0,0
2017-12-17,-0.0127832547214055,0,0,0
2017-12-18,-0.000199913724900469,0,0,0
2017-12-19,-0.0864154175671175,0,0,0
2017-12-20,-0.0477367273698537,0,0,0
2017-12-21,-0.0623272065443405,0,0,0
2017-12-22,-0.150602284174882,0,0,0
2017-12-23,-0.00199875304133279,0,0,0
2017-12-24,0.014925650216675,0,0,0
2017-12-25,0.014657971046752,0,0,0
2017-12-26,0.135612810748734,0,0,0
2017-12-27,-0.014705070911333,0,0,0
2017-12-28,-0.0862740851659947,0,0,0
2017-12-29,0.013780543072329,0,0,0
2017-12-30,-0.14484396306564,0,0,0
2017-12-31,0.0976713898061643,0,0,0
2018-01-01,-0.0248282262753126,0,0,0
2018-01-02,0.0923918067270399,0,0,0
2018-01-03,0.0165168909861304,0,0,0
2018-01-04,0.00934192500328912,0,0,0
2018-01-05,0.118868947965845,0,0,0
2018-01-06,0.00642960906357715,0,0,0
2018-01-07,-0.0553883271938851,0,0,0
2018-01-08,-0.0803902390303346,0,0,0
2018-01-09,-0.0343034616397908,0,0,0
2018-01-10,0.0346087321201924,0,0,0
2018-01-11,-0.118686537454003,0,0,0
2018-01-12,0.0371616133478323,0,0,0
