"Date","Return","Vol_GARCH","Vol_MSGARCH","Vol_GAS","VaR_GARCH_1","VaR_MSGARCH_1","VaR_GAS_1","ES_GARCH_1","ES_MSGARCH_1","ES_GAS_1","VaR_GARCH_2_5","VaR_MSGARCH_2_5","VaR_GAS_2_5","ES_GARCH_2_5","ES_MSGARCH_2_5","ES_GAS_2_5","VaR_GARCH_5","VaR_MSGARCH_5","VaR_GAS_5","ES_GARCH_5","ES_MSGARCH_5","ES_GAS_5","Parkinson"
2017-06-01,-0.0108612394142036,0.0399996699784831,0.0327884621002182,0.040698644258296,-0.103988632389216,-0.0792321957330987,-0.105569360747509,-0.130676181093594,-0.104942186813139,-0.130676181093594,-0.0767417057146403,-0.0622388074119803,-0.0808278152470219,-0.100761568320703,-0.0840304241217054,-0.104942186813139,-0.0636396163429944,-0.0533439750934528,-0.0674222045512615,-0.0857286492283959,-0.0769683808649383,-0.0888494628005777,0.000467573984865418
2017-06-02,0.0177816822601834,0.0382232182399432,0.0263998185418505,0.0367768465079385,-0.0993126029386626,-0.0700521094987292,-0.0954251198243197,-0.125741594841025,-0.0926048898436014,-0.112523331730103,-0.0731799091356939,-0.0493310411537788,-0.0726013648513727,-0.0962322206522444,-0.0705827859842511,-0.0962322206522444,-0.0608976883296812,-0.0424989240576463,-0.0609542241168095,-0.0834777051525941,-0.0628725173328891,-0.0834777051525941,0.000298372154975603
2017-06-05,0.00991239532674674,0.0368213610652636,0.0325877565559035,0.0339620033340304,-0.0956224280210577,-0.0793550928405176,-0.0881465806271063,-0.112523331730103,-0.104942186813139,-0.108133998997622,-0.0704010132633719,-0.0609621101755817,-0.0664368923034226,-0.0926048898436014,-0.0834777051525941,-0.0875828688223805,-0.0587241014533285,-0.0521003631975247,-0.0563142192803833,-0.081865494238662,-0.0752939394943563,-0.0802882529436125,0.00021589487972593
2017-06-06,0,0.0352169366650546,0.0305732027546523,0.0309522312368366,-0.0914009019042681,-0.0733386630813486,-0.0803875192630802,-0.109594404237729,-0.0972789850438051,-0.104942186813139,-0.0672345878330037,-0.0575772032519833,-0.0602025990692306,-0.0875828688223805,-0.081865494238662,-0.0829320764731999,-0.0561987339492822,-0.0492756219432534,-0.051369003925913,-0.0802882529436125,-0.0705827859842511,-0.073789843808532,0.000186880393535471
2017-06-07,-0.0238015074902455,0.0335468113712142,0.0218337526864513,0.0280384954058382,-0.0870092523430419,-0.0575427671955585,-0.0728747443065064,-0.108133998997622,-0.081865494238662,-0.0962322206522444,-0.0639513610189633,-0.0408717698716961,-0.0542095719839257,-0.0857286492283959,-0.060841790062267,-0.0778675199785261,-0.0535568598012054,-0.0353388537955993,-0.0465810157722302,-0.0774105116768985,-0.0551272410143897,-0.0669139445316917,0.000592791333082809
2017-06-08,-0.00233372331730466,0.0327551960509754,0.029703162193149,0.0274522042556726,-0.0849110389109719,-0.0710826919341921,-0.0713468444292456,-0.108133998997622,-0.0926048898436014,-0.0926048898436014,-0.0623444839268146,-0.056004171488734,-0.0530426956388133,-0.0840304241217054,-0.0802882529436125,-0.0765350166077416,-0.052321350437724,-0.0479749328724772,-0.0456064388249492,-0.0757000236275712,-0.0683755374636288,-0.065558769585298,0.000136845424505317
2017-06-09,0.000778513069760241,0.0311800900414818,0.0209376967253881,0.0249992670049953,-0.080764309814401,-0.053608745212636,-0.0649843790580951,-0.104942186813139,-0.0774105116768985,-0.0869438171620628,-0.0592816935400542,-0.0397022549396923,-0.0483275549083516,-0.081865494238662,-0.0596746484469217,-0.0691624858597082,-0.0498342295947886,-0.0339161069894659,-0.0415468971764027,-0.0708776635249,-0.053888552479126,-0.0624837290316387,0.000156433019107324
2017-06-12,0.00388350000761312,0.0296408356039319,0.0200943668371405,0.0228250468428892,-0.0767283033719556,-0.0527718651479655,-0.0593817174676786,-0.100761568320703,-0.0761117430945602,-0.0823885923954957,-0.0562904763947176,-0.0376520040093604,-0.0441618210125381,-0.0802882529436125,-0.057142332511031,-0.0642778073967835,-0.0474018684338317,-0.0324697969963081,-0.0379773301822751,-0.0673900351385144,-0.052484129342338,-0.0572812732492721,0.000146524830761903
2017-06-13,0.00309597772520629,0.0281840444127432,0.0194440152352388,0.0209839705898974,-0.072902616776346,-0.0510483559824354,-0.0545986354335435,-0.0962322206522444,-0.0721038343516972,-0.0783309372775307,-0.0534915006036266,-0.0364142401116769,-0.0406180842845123,-0.0769683808649383,-0.0564483513823305,-0.0605006666107982,-0.0451613881801181,-0.0314199585688602,-0.0349240933616217,-0.065558769585298,-0.0516010407901955,-0.0546235876337271,0.000135574833336136
2017-06-14,-0.0250404319743407,0.0267452399442443,0.0180909332247675,0.0193318854737004,-0.0691310904001925,-0.0463232591292838,-0.0503347239114407,-0.0910226401268682,-0.0664504461472094,-0.0714794582720387,-0.0507822717488687,-0.0343471220834247,-0.0374496815502446,-0.0721038343516972,-0.0541309002007034,-0.0570030088609625,-0.0430262631481119,-0.0293440741246542,-0.0321038596113428,-0.0634668559599344,-0.0496221977388385,-0.0519308610054647,0.000405525426138924
