"Data","Open","Close","High","Low"
1986-01-02,2.5501308206e-10,2.5501308206e-10,2.5801623725e-10,2.5501007783e-10
1986-01-03,2.5501308206e-10,2.6251345946e-10,2.670136859e-10,2.5501308206e-10
1986-01-06,2.7001383686e-10,2.7751423215e-10,2.8501460955e-10,2.7001383686e-10
1986-01-07,2.7901430763e-10,2.7001383686e-10,2.8501460955e-10,2.5501308206e-10
1986-01-08,2.6101338398e-10,2.7601415667e-10,2.8501460955e-10,2.5801323302e-10
1986-01-09,2.7631416819e-10,2.8501460955e-10,2.9101492936e-10,2.7451408119e-10
1986-01-10,2.8201445859e-10,2.7001383686e-10,2.8501460955e-10,2.7001383686e-10
1986-01-13,2.7001383686e-10,2.6401353494e-10,2.7001383686e-10,2.5801323302e-10
1986-01-14,2.6401353494e-10,2.7001383686e-10,2.7001383686e-10,2.6101338398e-10
1986-01-15,2.7001383686e-10,2.7901430763e-10,2.8501460955e-10,2.670136859e-10
1986-01-16,2.7901430763e-10,2.7901430763e-10,2.8201445859e-10,2.7571414515e-10
1986-01-17,2.8201445859e-10,2.7451408119e-10,2.8501460955e-10,2.7001383686e-10
1986-01-20,2.7451408119e-10,2.7001383686e-10,2.7601415667e-10,2.670136859e-10
1986-01-21,2.7001383686e-10,2.6431354646e-10,2.7001383686e-10,2.6401353494e-10
1986-01-22,2.7001383686e-10,2.7001383686e-10,2.7151391234e-10,2.5501308206e-10
1986-01-23,2.7001383686e-10,2.6101338398e-10,2.7001383686e-10,2.6101338398e-10
1986-01-24,2.6101338398e-10,2.5501308206e-10,2.6971382534e-10,2.5501308206e-10
1986-01-27,2.5501308206e-10,2.5201291321e-10,2.5501308206e-10,2.4601261129e-10
1986-01-28,2.5501308206e-10,2.4601261129e-10,2.5501308206e-10,2.4001230937e-10
1986-01-29,2.4601261129e-10,2.3851223389e-10,2.4601261129e-10,2.3551208293e-10
1986-01-30,2.3401198956e-10,2.3551208293e-10,2.3701215841e-10,2.2501153668e-10
1986-01-31,2.3551208293e-10,2.3701215841e-10,2.4601261129e-10,2.355090787e-10
1986-02-03,2.3701215841e-10,2.7601415667e-10,2.7601415667e-10,2.3701215841e-10
1986-02-04,2.7601415667e-10,2.6401353494e-10,2.7901430763e-10,2.6401353494e-10
1986-02-05,2.5801323302e-10,2.5201291321e-10,2.7001383686e-10,2.5201291321e-10
1986-02-06,2.5501308206e-10,2.670136859e-10,2.7901430763e-10,2.5501308206e-10
1986-02-07,2.6401353494e-10,2.670136859e-10,2.8501460955e-10,2.6401353494e-10
1986-02-13,2.7001383686e-10,2.6101037975e-10,2.7001383686e-10,2.5501308206e-10
1986-02-14,2.595133085e-10,2.6101338398e-10,2.7001383686e-10,2.5501308206e-10
1986-02-17,2.6401353494e-10,2.7301400571e-10,2.8831478992e-10,2.6401353494e-10
1986-02-18,2.7601415667e-10,2.8801476051e-10,3.0001538224e-10,2.6401353494e-10
1986-02-19,3.0001538224e-10,2.8501460955e-10,3.0001538224e-10,2.7001383686e-10
1986-02-20,2.8501460955e-10,2.7541411575e-10,2.8951483599e-10,2.7541411575e-10
1986-02-21,2.7541411575e-10,2.7601415667e-10,2.8501460955e-10,2.7001383686e-10
1986-02-24,2.7301400571e-10,2.7001383686e-10,2.7301400571e-10,2.5201291321e-10
1986-02-25,2.7001383686e-10,2.5501308206e-10,2.7001383686e-10,2.5501308206e-10
1986-02-26,2.5501308206e-10,2.5831324454e-10,2.7541411575e-10,2.5201291321e-10
1986-02-27,2.5801323302e-10,2.4001230937e-10,2.5801323302e-10,2.4001230937e-10
1986-03-04,3.6001847299e-10,2.8501460955e-10,3.6001847299e-10,2.8501460955e-10
1986-03-05,2.8501460955e-10,2.7001383686e-10,3.0001538224e-10,2.7001383686e-10
1986-03-06,2.7001383686e-10,2.6401353494e-10,3.0001538224e-10,2.6401353494e-10
1986-03-07,2.7001383686e-10,2.5501308206e-10,3.0001538224e-10,2.5501308206e-10
1986-03-10,2.5501308206e-10,2.7301400571e-10,3.0001538224e-10,2.5501308206e-10
1986-03-11,2.7601415667e-10,2.8501761378e-10,2.9101492936e-10,2.7451408119e-10
1986-03-12,2.8501460955e-10,3.0001538224e-10,3.0001538224e-10,2.8501460955e-10
1986-03-13,3.0001538224e-10,3.3001692762e-10,3.3001692762e-10,2.9401508032e-10
1986-03-14,3.0001538224e-10,3.3001692762e-10,3.4501768242e-10,3.0001538224e-10
1986-03-17,3.4441765938e-10,3.6001847299e-10,3.6001847299e-10,3.1801628801e-10
1986-03-18,3.6001847299e-10,3.9001998261e-10,4.2002152798e-10,3.3751730502e-10
1986-03-19,3.9001998261e-10,3.9001998261e-10,4.2002152798e-10,3.6001847299e-10
1986-03-20,3.9001998261e-10,4.2002152798e-10,4.2902198087e-10,3.9001998261e-10
1986-03-21,4.2002152798e-10,4.3802246952e-10,4.5302322432e-10,3.9001998261e-10
1986-03-24,4.6502382817e-10,4.6502382817e-10,4.8002461874e-10,4.3802246952e-10
1986-03-25,4.5902352624e-10,4.8002461874e-10,4.8002461874e-10,4.5002307336e-10
1986-03-26,4.8002461874e-10,4.6502382817e-10,4.8602492066e-10,4.5002307336e-10
1986-03-31,4.6502382817e-10,4.6502382817e-10,4.8002461874e-10,4.5002307336e-10
1986-04-01,4.6502382817e-10,4.5002307336e-10,4.7402431681e-10,4.4999306684e-10
1986-04-02,4.5002307336e-10,4.6502382817e-10,4.7102416585e-10,4.4999306684e-10
1986-04-03,4.6502382817e-10,4.6202367721e-10,4.7402431681e-10,4.3502231855e-10
1986-04-04,4.7282423497e-10,5.1602646604e-10,5.2502691892e-10,4.6502382817e-10
1986-04-07,5.1602646604e-10,5.4002767373e-10,5.550284643e-10,5.1602646604e-10
