"Data","Open","Close","High","Low"
"2015-05-26",3.39133009,3.2827015481,3.4072269498,3.2827015481
"2015-05-27",3.311845791,3.3250931742,3.3542374172,3.2562067817
"2015-05-28",3.3038973611,3.3568868938,3.3966290433,3.2853510247
"2015-05-29",3.3674848003,3.2668046883,3.3860311368,3.2668046883
"2015-06-01",3.2932994546,3.2774025948,3.3515879405,3.2456088752
"2015-06-02",3.3250931742,3.4019279966,3.4310722395,3.3038973611
"2015-06-03",3.4337217161,3.3992785199,3.470814389,3.370134277
"2015-06-05",3.3330416041,3.3277426508,3.3860311368,3.290649978
"2015-06-08",3.340990034,3.3303921275,3.3833816601,3.3038973611
"2015-06-09",3.340990034,3.4363711928,3.4893607254,3.3303921275
"2015-06-10",3.5238039217,3.4575670058,3.5608965945,3.4231238096
"2015-06-11",3.4787628189,3.4575670058,3.4814122955,3.4045774732
"2015-06-12",3.4072269498,3.4496185759,3.4549175292,3.3992785199
"2015-06-15",3.4363711928,3.441670146,3.4681649124,3.4178248563
"2015-06-16",3.4549175292,3.5370513048,3.5714945011,3.420474333
"2015-06-17",3.5767934543,3.4946596787,3.600638744,3.4761133423
"2015-06-18",3.5185049684,3.5608965945,3.5608965945,3.4840617722
"2015-06-19",3.5264533983,3.4893607254,3.5608965945,3.470814389
"2015-06-22",3.5238039217,3.4973091553,3.5423502581,3.4787628189
"2015-06-23",3.5158554918,3.4363711928,3.5582471179,3.4310722395
"2015-06-24",3.4602164825,3.4973091553,3.5370513048,3.4575670058
"2015-06-25",3.5052575852,3.3383405574,3.5079070619,3.3171447443
"2015-06-26",3.3542374172,3.499958632,3.499958632,3.3489384639
"2015-06-29",3.4443196227,3.3780827069,3.600638744,3.3436395106
"2015-06-30",3.4178248563,3.3674848003,3.441670146,3.3515879405
"2015-07-01",3.39133009,3.2270625388,3.4045774732,3.182021436
"2015-07-02",3.2721036415,3.2588562584,3.3197942209,3.2217635855
"2015-07-03",3.2456088752,3.1078360903,3.261505735,3.0945887071
"2015-07-06",3.0495476044,3.0415991745,3.1078360903,2.9886096418
"2015-07-07",3.0098054549,3.1210834735,3.1290319034,2.8667337167
"2015-07-08",3.0786918473,3.0601455109,3.1767224828,3.001857025
"2015-07-10",3.1528771931,3.1237329501,3.1740730061,3.1131350436
"2015-07-13",3.1449287632,3.13168138,3.160825623,3.0680939408
"2015-07-14",3.0972381838,3.1793719594,3.2005677725,3.0680939408
"2015-07-15",3.1687740529,3.1263824267,3.1952688192,3.1051866137
"2015-07-16",3.1502277164,3.1581761463,3.1767224828,3.13168138
"2015-07-17",3.13168138,3.0204033614,3.1528771931,3.0177538848
"2015-07-20",3.0363002212,2.8587852868,3.0574960343,2.8481873803
"2015-07-21",2.8905790064,2.8534863336,2.9780117353,2.8084452308
"2015-07-22",2.8110947074,2.7448577916,2.8402389504,2.7369093617
"2015-07-23",2.7077651188,2.6945177356,2.7978473243,2.6812703524
"2015-07-24",2.6945177356,2.6600745394,2.7104145954,2.5858891936
"2015-07-27",2.6388787263,2.5196522778,2.6468271562,2.5196522778
"2015-07-28",2.5673428572,2.6415282029,2.7077651188,2.5461470441
