,Residuals_LSTM
0,19.704388229092938
1,26.177895412992203
2,45.646750053254365
3,-73.43484394144204
4,-6.350682956505918
5,16.33255589004142
6,30.974871640725723
7,-47.90639033243111
8,15.047700081531001
9,-41.70146555238505
10,-150.45016092738337
11,43.95347363222662
12,-66.83891956438403
13,27.545698663342247
14,19.99122140998455
15,-27.640091259160645
16,-70.76693715021469
17,-46.51900152641116
18,-50.45306712553572
19,38.55920709583937
20,42.17839050147088
21,-7.1342450965708135
